,name,position,team,value,total_points,xP,goals_scored,assists,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,influence,creativity,threat,minutes,was_home,opponent_team,tr_total_points,tr_xP,tr_goals_scored,tr_assists,tr_goals_conceded,tr_expected_goals,tr_expected_assists,tr_expected_goal_involvements,tr_influence,tr_creativity,tr_threat,tr_minutes
354,Marcos_Alonso_115,,,67,2,,0,0,1,,,,23.2,18.8,6.0,90,True,15,,,,,,,,,,,,0
56,Arijanet_Muric_529,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,True,20,,,,,,,,,,,,0
154,DeAndre_Yedlin_310,,,45,1,,0,0,2,,,,17.0,30.3,2.0,81,False,6,,,,,,,,,,,,0
451,Reece_Oxford_407,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,True,1,,,,,,,,,,,,0
394,Mikel_Merino_322,,,50,0,,0,0,0,,,,0.0,0.0,0.0,0,False,6,,,,,,,,,,,,0
379,Matty_James_229,,,44,0,,0,0,0,,,,0.0,0.0,0.0,0,True,16,,,,,,,,,,,,0
478,Rúben Diogo_da Silva Neves_433,,,49,2,,0,0,3,,,,14.6,0.5,8.0,90,False,13,,,,,,,,,,,,0
369,Marvin_Zeegelaar_384,,,42,0,,0,0,0,,,,0.0,0.0,0.0,0,False,7,,,,,,,,,,,,0
357,Marcus_Rashford_305,,,73,7,,1,0,0,,,,38.2,2.7,39.0,90,False,17,,,,,,,,,,,,0
300,José Heriberto_Izquierdo Mena_61,,,59,0,,0,0,0,,,,0.0,0.0,0.0,0,True,12,,,,,,,,,,,,0
137,Danny_Simpson_217,,,42,0,,0,0,0,,,,0.0,0.0,0.0,0,True,16,,,,,,,,,,,,0
111,Christian_Fuchs_216,,,41,0,,0,0,0,,,,0.0,0.0,0.0,0,True,16,,,,,,,,,,,,0
538,Trent_Alexander-Arnold_245,,,52,6,,0,0,0,,,,17.2,36.1,2.0,90,False,3,,,,,,,,,,,,0
479,Rúben Gonçalo_Silva Nascimento Vinagre_431,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,False,13,,,,,,,,,,,,0
189,Federico_Fernández_516,,,44,0,,0,0,0,,,,0.0,0.0,0.0,0,False,6,,,,,,,,,,,,0
353,Manuel_Lanzini_414,,,64,0,,0,0,0,,,,0.0,0.0,0.0,0,True,1,,,,,,,,,,,,0
417,Nicolás_Otamendi_264,,,61,0,,0,0,0,,,,0.0,0.0,0.0,0,True,20,,,,,,,,,,,,0
534,Tom_Cleverley_388,,,50,7,,1,0,0,,,,32.8,0.8,19.0,22,False,7,,,,,,,,,,,,0
309,Kadeem_Harris_535,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,True,10,,,,,,,,,,,,0
430,Paul_Dummett_313,,,44,0,,0,0,0,,,,0.0,0.0,0.0,0,False,6,,,,,,,,,,,,0
462,Robert_Snodgrass_489,,,54,1,,0,0,0,,,,0.2,0.8,4.0,19,True,1,,,,,,,,,,,,0
81,Beram_Kayal_57,,,44,1,,0,0,0,,,,6.2,0.5,2.0,11,True,12,,,,,,,,,,,,0
293,Joseph_Gomez_242,,,49,0,,0,0,0,,,,0.0,0.0,0.0,0,False,3,,,,,,,,,,,,0
73,Benjamin_Mendy_267,,,62,0,,0,0,0,,,,0.0,0.0,0.0,0,True,20,,,,,,,,,,,,0
346,Luka_Milivojevic_150,,,61,1,,0,0,2,,,,30.0,53.7,22.0,90,True,18,,,,,,,,,,,,0
157,Demarai_Gray_225,,,54,1,,0,0,0,,,,8.8,29.8,18.0,45,True,16,,,,,,,,,,,,0
37,Andreas_Christensen_119,,,50,0,,0,0,0,,,,0.0,0.0,0.0,0,True,15,,,,,,,,,,,,0
131,Daniel_Drinkwater_128,,,47,0,,0,0,0,,,,0.0,0.0,0.0,0,True,15,,,,,,,,,,,,0
83,Bernardo_Fernandes da Silva Junior_440,,,42,0,,0,0,0,,,,0.0,0.0,0.0,0,True,12,,,,,,,,,,,,0
488,Sandro_Ramírez_470,,,54,0,,0,0,0,,,,0.0,0.0,0.0,0,True,2,,,,,,,,,,,,0
143,Daryl_Janmaat_381,,,49,0,,0,0,0,,,,0.0,0.0,0.0,0,False,7,,,,,,,,,,,,0
120,Connor_Wickham_444,,,49,0,,0,0,0,,,,0.0,0.0,0.0,0,True,18,,,,,,,,,,,,0
217,Hamza_Choudhury_230,,,43,2,,0,0,2,,,,15.8,5.8,8.0,75,True,16,,,,,,,,,,,,0
373,Mathew_Ryan_47,,,44,0,,0,0,0,,,,0.0,0.0,0.0,0,True,12,,,,,,,,,,,,0
471,Ryan John_Giles_555,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,False,13,,,,,,,,,,,,0
34,Alisson_Ramses Becker_468,,,60,1,,0,0,3,,,,3.2,0.0,0.0,90,True,7,,,,,,,,,,,,0
67,Ayoze_Pérez_326,,,61,7,,1,0,0,,,,46.8,13.8,72.0,90,True,5,,,,,,,,,,,,0
215,Greg_Halford_97,,,40,0,,0,0,0,,,,0.0,0.0,0.0,0,False,15,,,,,,,,,,,,0
521,Steve_Cook_27,,,44,7,,0,0,0,,,,22.0,0.4,21.0,90,True,19,,,,,,,,,,,,0
39,Andrew_Robertson_247,,,67,5,,0,1,3,,,,41.6,42.5,30.0,90,True,7,,,,,,,,,,,,0
232,Ilkay_Gündogan_274,,,54,3,,0,0,0,,,,3.2,6.3,26.0,79,False,10,,,,,,,,,,,,0
549,Victor_Lindelöf_292,,,48,2,,0,0,1,,,,8.2,10.6,8.0,90,True,3,,,,,,,,,,,,0
543,Troy_Deeney_396,,,59,2,,0,0,0,,,,11.4,46.2,41.0,90,True,4,,,,,,,,,,,,0
264,Jeffrey_Schlupp_141,,,44,1,,0,0,1,,,,0.4,0.2,22.0,15,False,12,,,,,,,,,,,,0
183,Etienne_Capoue_389,,,49,3,,0,0,0,,,,25.2,5.8,0.0,90,True,4,,,,,,,,,,,,0
114,Christopher_Schindler_192,,,43,1,,0,0,3,,,,25.8,0.5,2.0,90,True,13,,,,,,,,,,,,0
5,Abd-Al-Ali Morakinyo Olaposi_Koiki_564,,,40,0,,0,0,0,,,,0.0,0.0,0.0,0,False,18,,,,,,,,,,,,0
24,Alexandre_Lacazette_22,,,93,8,,1,0,0,,,,39.4,15.9,30.0,67,True,6,,,,,,,,,,,,0
205,Gary_Cahill_114,,,51,0,,0,0,0,,,,0.0,0.0,0.0,0,False,1,,,,,,,,,,,,0
136,Danny_Ings_258,,,55,2,,0,0,0,,,,13.2,22.8,42.0,73,True,8,,,,,,,,,,,,0
442,Phil_Jones_285,,,51,2,,0,0,1,,,,13.6,0.8,0.0,90,True,3,,,,,,,,,,,,0
300,Josh_Murphy_106,,,48,1,,0,0,1,,,,2.0,0.0,2.0,8,False,15,,,,,,,,,,,,0
38,Andreas_Pereira_481,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,True,3,,,,,,,,,,,,0
113,Christian_Kabasele_380,,,44,7,,0,0,0,,,,23.0,0.0,0.0,90,True,4,,,,,,,,,,,,0
550,Victor_Moses_117,,,55,0,,0,0,0,,,,0.0,0.0,0.0,0,False,1,,,,,,,,,,,,0
424,Olivier_Giroud_133,,,77,1,,0,0,0,,,,0.0,3.6,4.0,22,False,1,,,,,,,,,,,,0
308,Juninho_Bacuna_208,,,42,1,,0,0,3,,,,6.0,0.6,0.0,63,True,13,,,,,,,,,,,,0
211,Glenn_Murray_62,,,63,1,,0,0,2,,,,0.0,1.0,6.0,59,False,14,,,,,,,,,,,,0
278,John_Ruddy_421,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,True,11,,,,,,,,,,,,0
437,Petr_Cech_1,,,48,0,,0,0,0,,,,0.0,0.0,0.0,0,True,6,,,,,,,,,,,,0
518,Stephen_Ward_71,,,47,0,,0,0,0,,,,0.0,0.0,0.0,0,False,18,,,,,,,,,,,,0
78,Ben_Mee_70,,,47,5,,0,0,0,,,,17.6,10.4,6.0,90,False,18,,,,,,,,,,,,0
548,Vicente_Iborra_228,,,47,0,,0,0,0,,,,0.0,0.0,0.0,0,False,20,,,,,,,,,,,,0
21,Aleksandar_Mitrovic_480,,,66,1,,0,0,2,,,,9.8,13.3,18.0,90,True,17,,,,,,,,,,,,0
449,Ragnar_Klavan_244,,,44,0,,0,0,0,,,,0.0,0.0,0.0,0,True,7,,,,,,,,,,,,0
334,Lee_Grant_520,,,49,0,,0,0,0,,,,0.0,0.0,0.0,0,True,3,,,,,,,,,,,,0
60,Ashley Darel Jazz_Richards_96,,,39,0,,0,0,0,,,,0.0,0.0,0.0,0,False,15,,,,,,,,,,,,0
255,Jan_Bednarek_335,,,39,2,,0,0,1,,,,43.8,13.2,2.0,90,True,8,,,,,,,,,,,,0
533,Tim_Ream_180,,,42,1,,0,0,2,,,,6.8,20.3,0.0,90,True,17,,,,,,,,,,,,0
487,Sam_Baldock_64,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,False,14,,,,,,,,,,,,0
221,Harry_Maguire_220,,,54,0,,0,0,2,,,,2.4,10.7,17.0,47,False,20,,,,,,,,,,,,0
468,Romain_Saïss_426,,,42,1,,0,0,3,,,,20.8,0.4,0.0,90,True,11,,,,,,,,,,,,0
220,Harry_Kane_372,,,125,0,,0,0,0,,,,0.0,0.0,0.0,0,False,9,,,,,,,,,,,,0
370,Martin_Kelly_140,,,39,0,,0,0,0,,,,0.0,0.0,0.0,0,False,12,,,,,,,,,,,,0
510,Simon_Mignolet_237,,,47,0,,0,0,0,,,,0.0,0.0,0.0,0,True,7,,,,,,,,,,,,0
414,Nathan_Aké_31,,,50,6,,0,0,0,,,,9.6,0.0,7.0,90,True,19,,,,,,,,,,,,0
567,Xherdan_Shaqiri_462,,,71,1,,0,0,1,,,,2.2,0.5,0.0,19,True,7,,,,,,,,,,,,0
426,Oriol_Romeu Vidal_339,,,43,2,,0,0,1,,,,17.6,0.7,0.0,90,True,8,,,,,,,,,,,,0
135,Danny_Batth_428,,,40,0,,0,0,0,,,,0.0,0.0,0.0,0,True,11,,,,,,,,,,,,0
435,Pedro_Obiang_413,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,False,2,,,,,,,,,,,,0
391,Mesut_Özil_13,,,80,0,,0,0,0,,,,0.0,0.0,0.0,0,True,6,,,,,,,,,,,,0
238,Jack_Cork_82,,,46,3,,0,0,0,,,,9.0,2.3,20.0,90,False,18,,,,,,,,,,,,0
415,Nathan_Redmond_343,,,52,2,,0,0,0,,,,0.0,4.0,12.0,85,True,8,,,,,,,,,,,,0
47,Andy_Carroll_418,,,54,1,,0,0,1,,,,0.0,11.1,20.0,65,False,2,,,,,,,,,,,,0
554,Virgil_van Dijk_246,,,65,4,,0,1,3,,,,19.4,4.0,23.0,90,True,7,,,,,,,,,,,,0
93,Bukayo_Saka_563,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,True,6,,,,,,,,,,,,0
361,Marc_Albrighton_224,,,51,0,,0,0,0,,,,0.0,0.0,0.0,0,False,20,,,,,,,,,,,,0
561,Willian_Borges Da Silva_124,,,72,2,,0,0,2,,,,12.8,64.5,40.0,67,False,1,,,,,,,,,,,,0
292,Jordon_Ibe_38,,,50,0,,0,0,0,,,,0.0,0.0,0.0,0,True,19,,,,,,,,,,,,0
322,Kevin_McDonald_183,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,True,17,,,,,,,,,,,,0
259,Jason_Steele_439,,,40,0,,0,0,0,,,,0.0,0.0,0.0,0,False,14,,,,,,,,,,,,0
342,Loïc_Damour_104,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,False,15,,,,,,,,,,,,0
368,Marouane_Fellaini_298,,,48,0,,0,0,0,,,,0.0,0.0,0.0,0,True,3,,,,,,,,,,,,0
