assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,10,75,None,0,0.0,199796,None,,0,0,0,0,12.4,157,37,None,,0,2,1.5,0.5,1,0.01,0.01,0.01,0.01,0.00,1.53,1.43,0.0,Matty,1.5,171,53,1,0.94,0,2.6,238,80,32,False,9.6,238,93,96,Hamstring injury - 75% chance of playing,2024-08-24T21:30:05.205042Z,45,381,75,0,0,None,0,,199796.jpg,1.5,177,54,0,0,0.0,Cash,2.8,114,41,False,None,2,1.88,d,2,7,4.0,191,52,3,37306,9280,77544,52525,0.3,0.7,Cash,0
0,0,0,None,None,0,0,151589,None,,0,0,0,0,0.0,430,175,None,,0,3,0.5,-1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Leander,0.0,440,175,0,0,0,0.0,442,174,33,False,0.0,434,167,0,,None,45,368,216,0,0,None,0,,151589.jpg,0.0,440,175,0,0,0,Dendoncker,0.9,198,67,False,None,0,0,a,2,7,0.0,382,149,0,10795,5701,18527,9171,0.0,0.0,Dendoncker,0
0,0,0,0,0,0,0,243557,None,,0,0,0,0,0.0,622,282,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Moussa,0.0,618,282,0,0,0,0.0,622,282,34,False,0.0,622,282,0,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,65,53,34,0,0,None,0,,243557.jpg,0.0,618,282,0,0,0,Diaby,0.0,567,247,False,None,0,0,u,2,7,0.0,620,281,0,0,0,2413,484,0.0,0.0,Diaby,0
0,0,0,None,None,0,0,165659,None,,0,0,0,0,0.0,433,172,None,,0,2,0.5,-1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Diego Carlos,0.0,443,169,0,0,0,0.0,445,173,35,False,0.0,437,173,0,,None,45,374,70,0,0,None,0,,165659.jpg,0.0,443,169,0,0,0,Santos Silva,0.6,240,86,False,None,0,0,a,2,7,0.0,386,153,0,7192,4479,15441,6342,0.0,0.0,Diego Carlos,0
0,0,22,None,None,0,0.0,101188,4,,0,0,0,0,21.0,98,18,2,,0,2,2.5,1.0,2,0.16,0.1,0.16,0.1,0.00,1.88,1.14,0.0,Lucas,2.0,130,41,2,1.22,0,5.4,136,36,36,False,33.0,110,39,148,,None,45,353,59,0,0,None,0,,101188.jpg,2.0,131,41,0,0,0.0,Digne,2.7,116,43,False,None,2,1.22,a,2,7,0.0,372,149,4,64517,53223,32465,18038,0.4,0.9,Digne,0
0,0,0,0,0,0,0,461421,None,,0,0,0,0,0.0,572,257,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Lewis,0.0,574,256,0,0,0,0.0,576,257,37,False,0.0,569,251,0,Permanent transfer to West Bromwich Albion,2024-08-07T08:21:33.016106Z,50,257,166,0,0,None,0,,461421.jpg,0.0,574,256,0,0,0,Dobbin,0.0,619,278,False,None,0,0,u,2,7,0.0,556,246,0,0,0,161,36,0.0,0.0,Dobbin,0
0,1,31,None,None,0,0.0,476344,None,,0,0,0,0,5.5,190,19,None,,0,4,4.0,2.5,1,0.14,0.24,0.62,1.06,0.48,1.68,2.85,0.82,Jhon,3.5,95,11,2,3.4,1,7.3,92,15,38,False,37.0,92,12,53,,None,60,83,24,0,0,None,0,,476344.jpg,3.5,98,11,0,0,0.0,Durán,0.7,214,35,False,None,0,0.0,a,2,7,30.0,64,17,7,42058,18263,18834,12448,0.6,1.2,Duran,0
0,0,0,None,None,0,0,462492,None,,0,0,0,0,0.0,362,26,None,,0,1,0.5,-1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Joe,0.0,378,44,0,0,0,0.0,382,45,39,False,0.0,374,45,0,,None,40,601,62,0,0,None,0,,462492.jpg,0.0,378,44,0,0,0,Gauci,0.8,206,28,False,None,0,0,a,2,7,0.0,304,24,0,21845,13950,6893,4208,0.0,0.0,Gauci,0
0,0,0,None,None,0,0,123354,None,,0,0,0,0,0.0,330,111,None,,0,2,0.5,-1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kortney,0.0,347,108,0,0,0,0.0,350,112,40,False,0.0,342,112,0,,None,40,563,162,0,0,None,0,,123354.jpg,0.0,347,108,0,0,0,Hause,0.6,229,82,False,None,0,0,a,2,7,0.0,271,83,0,10750,6311,9597,4718,0.0,0.0,Hause,0
0,0,0,None,None,0,0,469247,None,,-1,1,-1,1,0.0,600,272,None,,0,3,0.5,-1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Samuel,0.0,599,271,0,0,0,0.0,603,272,41,False,0.0,599,268,0,,None,54,172,108,0,0,None,0,,469247.jpg,0.0,599,271,0,0,0,Iling-Junior,0.1,492,190,False,None,0,0,a,2,7,0.0,589,266,0,334,155,2668,1029,0.0,0.0,Iling Jr,0
0,0,0,0,0,0,0,226944,None,,0,0,0,0,0.0,562,251,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Boubacar,0.0,564,250,0,0,0,0.0,565,250,42,False,0.0,558,244,0,Knee injury - Expected back 14 Sep,2024-07-17T13:30:04.954579Z,50,231,148,0,0,None,0,,226944.jpg,0.0,564,250,0,0,0,Kamara,0.0,618,277,False,None,0,0,i,2,7,0.0,542,237,0,53,30,110,49,0.0,0.0,Kamara,0
0,0,0,0,0,0,0,465390,None,,0,0,0,0,0.0,365,129,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kaine,0.0,381,125,0,0,0,0.0,385,130,43,False,0.0,377,130,0,Has joined Preston North End for the rest of the season,2024-08-09T11:14:21.895838Z,40,604,186,0,0,None,0,,465390.jpg,0.0,381,125,0,0,0,Kesler-Hayden,0.0,579,194,False,None,0,0,u,2,7,0.0,307,102,0,0,0,786,199,0.0,0.0,Kesler-Hayden,0
0,0,17,None,None,0,0.0,199798,None,,0,0,0,0,15.1,135,31,None,,0,2,2.0,0.5,1,0.02,0.01,0.09,0.05,0.07,3.33,1.66,0.04,Ezri,1.5,172,54,3,1.5,0,4.9,152,45,44,False,24.6,155,59,180,,None,45,382,76,0,0,None,0,,199798.jpg,1.5,178,55,0,0,0.0,Konsa Ngoyo,12.7,32,10,False,None,2,1.0,a,2,7,9.0,139,28,3,146412,106246,135620,63611,0.3,0.7,Konsa,0
0,0,5,None,None,0,0.0,441302,None,,0,0,0,0,25.6,81,11,None,,0,2,1.5,0.0,1,0.13,0.39,0.13,0.39,0.00,1.44,4.32,0.0,Ian,1.0,247,78,1,3.0,0,3.9,197,66,45,False,13.2,215,84,30,,None,50,252,30,0,0,None,0,,441302.jpg,1.0,280,91,0,0,0.0,Maatsen,3.1,105,38,False,None,0,0.0,a,2,7,0.0,554,198,2,22127,10712,79350,36738,0.2,0.4,Maatsen,0
0,0,0,0,0,0,0,462381,None,,0,0,0,0,0.0,361,25,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Filip,0.0,377,43,0,0,0,0.0,381,44,46,False,0.0,373,44,0,Has joined MK Dons for the rest of the season,2024-07-18T09:50:40.812599Z,40,600,61,0,0,None,0,,462381.jpg,0.0,377,43,0,0,0,Marschall,0.0,624,66,False,None,0,0,u,2,7,0.0,303,23,0,0,0,25,9,0.0,0.0,Marschall,0
0,0,21,None,None,0,0.0,98980,None,,0,0,0,0,0.0,549,61,None,,0,1,2.5,1.0,1,0.00,0.0,0.00,0.0,0.00,3.33,1.66,0.0,Emiliano,2.0,141,15,3,1.5,0,4.4,174,10,47,False,44.2,54,10,180,,None,50,187,7,0,0,None,0,,98980.jpg,2.0,145,16,0,5,2.5,Martínez Romero,12.8,31,5,False,None,2,1.0,a,2,7,0.0,524,61,4,121129,91064,151232,78552,0.4,0.8,Martinez,0
0,0,16,None,None,1,0.72,122806,None,,0,0,0,0,4.6,201,122,3,,0,3,3.0,1.5,3,0.02,0.01,0.32,0.23,0.30,1.64,1.18,0.22,John,2.5,118,51,1,0.72,0,2.2,255,125,48,False,2.2,296,146,125,,None,55,107,64,0,0,None,0,,122806.jpg,2.5,119,52,0,0,0.0,McGinn,2.0,142,47,False,None,2,1.44,a,2,7,15.0,116,70,5,17693,10438,41925,17755,0.5,0.9,McGinn,0
0,0,0,0,0,0,0,149484,None,,0,0,0,0,0.0,429,170,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Tyrone,0.0,439,167,0,0,0,0.0,441,171,49,False,0.0,433,171,0,Knee injury - Expected back 14 Sep,2024-08-05T15:00:04.309727Z,45,367,66,0,0,None,0,,149484.jpg,0.0,439,167,0,0,0,Mings,0.1,508,180,False,None,0,0,i,2,7,0.0,381,151,0,130,65,2803,771,0.0,0.0,Mings,0
